early_anchor_min,late_anchor_min,fixed_bff_early_p_transport,fixed_bff_late_p_transport,fixed_bff_pair_exceed,fixed_base60_early_p_transport,fixed_base60_late_p_transport,fixed_base60_pair_exceed,fixed_nrgf60_early_p_transport,fixed_nrgf60_late_p_transport,fixed_nrgf60_pair_exceed,fixed_representation_exceedance_count,fixed_primary_pair_exceed,spherical_bff_early_p_transport,spherical_bff_late_p_transport,spherical_bff_pair_exceed,spherical_base60_early_p_transport,spherical_base60_late_p_transport,spherical_base60_pair_exceed,spherical_nrgf60_early_p_transport,spherical_nrgf60_late_p_transport,spherical_nrgf60_pair_exceed,spherical_representation_exceedance_count,spherical_primary_pair_exceed,measured_bff_early_p_transport,measured_bff_late_p_transport,measured_bff_pair_exceed,measured_base60_early_p_transport,measured_base60_late_p_transport,measured_base60_pair_exceed,measured_nrgf60_early_p_transport,measured_nrgf60_late_p_transport,measured_nrgf60_pair_exceed,measured_representation_exceedance_count,measured_primary_pair_exceed
2100.0,2460.0,0.12768528289364256,0.36475428087388834,False,0.10172678188810935,0.19229000130730034,False,0.10191434887319144,0.26028553846644426,False,0,False,0.2196648623300076,0.31657338306635807,False,0.10846574386091079,0.20997601177232722,False,0.11840315278468513,0.328008783032365,False,0,False,0.19067073835303,0.3267125731280144,False,0.16347157400017967,0.20870549372932934,False,0.13530862016702716,0.33361510940129874,False,0,False
2130.0,2490.0,0.14795422522523322,0.2142743181083081,False,0.09812196243171295,0.2553479922162256,False,0.1407987066108835,0.29378044908305945,False,0,False,0.12061378425013074,0.3207689823877395,False,0.09419412184246638,0.22012019297093516,False,0.1560760781902096,0.2943737426397618,False,0,False,0.09261888922937749,0.2695707871475124,False,0.14638577053839888,0.2175666234885468,False,0.185159440575409,0.29416262402398013,False,0,False
2160.0,2520.0,0.12791948715741455,0.2689695012686905,False,0.1515445643847058,0.549779144131444,False,0.1504041047386772,0.5281907544368467,False,0,False,0.05695614454640516,0.4077696685288825,False,0.1467902114664999,0.5509804409515563,False,0.13372651758881218,0.2299999902215078,False,0,False,0.06894668859636546,0.3257474387851636,False,0.14283879349746242,0.549779144131444,False,0.15781037415204402,0.3029963694107621,False,0,False
2190.0,2550.0,0.051516650317047864,0.4478437648750144,False,0.19114760869689393,0.4472778638883621,False,0.1790648976735629,0.4539363665376077,False,0,False,0.12850578161772064,0.4773765817523796,True,0.1477111604882177,0.45129720187313316,False,0.1257910246525527,0.4410303253941025,False,1,False,0.09917274988047452,0.4815087813921366,False,0.14913529019195315,0.44852231311165625,False,0.13118457214159557,0.42516275144055354,False,0,False
2220.0,2580.0,0.014767373669184068,0.6147054130145309,False,0.11627187852050222,0.26792297111437613,False,0.12012931326037715,0.24554971962781086,False,0,False,0.10908803137851783,0.6349655923189736,False,0.12770328806361128,0.2681502620788532,False,0.12606312216652646,0.34533149957598813,False,0,False,0.11558737682752478,0.6337248372445051,False,0.1807963719987375,0.28172546767499446,False,0.1001500597474667,0.35450547296847146,False,0,False
2250.0,2610.0,0.022605828196841773,0.5832382849176118,False,0.061006244491158136,0.188928270371476,False,0.06868344848683006,0.1600530612332514,False,0,False,0.11316733726525792,0.559679538284517,False,0.08375653031193649,0.20617352343702622,False,0.11567654021473794,0.33229865062936637,False,0,False,0.11307779094225633,0.5480866285946218,False,0.14334943931948896,0.19162326764429183,False,0.11610325230998486,0.3427468141616983,False,0,False
2280.0,2640.0,0.37748745489357066,0.17888926941509914,False,0.061985818381567685,0.4659682120504791,False,0.07355763892518467,0.3655054546804517,False,0,False,0.13988665314563445,0.5322479601844106,True,0.06268336886757545,0.4938641258163863,False,0.09722632908906975,0.4653909702243012,False,1,False,0.16267104392381618,0.545016155506767,False,0.07726010347386042,0.48966918690889943,False,0.0728387037327354,0.4756454589038597,False,0,False
2310.0,2670.0,0.305143364254425,0.15283228605896657,False,0.19383151395656706,0.36506199250729787,False,0.22071462083820304,0.4848082736713091,False,0,False,0.07489443555432816,0.5544275814365187,False,0.19370742473270755,0.3535590737664773,False,0.15952666714684177,0.4396767596091983,False,0,False,0.10736263772024146,0.5615217927800569,False,0.10582587273925578,0.3424612278510548,False,0.09858987808021669,0.45196352614403035,False,0,False
2340.0,2700.0,0.2271159056126444,0.18419684210419943,False,0.1971829188491709,0.2770822619983356,False,0.21400718468736848,0.3327857717884456,False,0,False,0.141959468287404,0.1969377879315908,False,0.1252498430849291,0.2906137371314211,False,0.12024801534873003,0.3568370898861599,False,0,False,0.07897637573659778,0.19356252066293328,False,0.15244995477040985,0.2993973741342166,False,0.11409591354957117,0.3446001811838023,False,0,False
2370.0,2730.0,0.196947527032904,0.12122542940536879,False,0.09890902255971115,0.30141403654082355,False,0.09003736552303004,0.3218508486973469,False,0,False,0.22083388671588117,0.15723756412223672,False,0.08362365257340743,0.3381249783948105,False,0.09488013557662488,0.34420524194554836,False,0,False,0.1274827872220797,0.15321172824336932,False,0.12888645867613618,0.33411005176962383,False,0.08626514489765542,0.337753677241483,False,0,False
2400.0,2760.0,0.08152118086300883,0.11297668727840177,False,0.062486524077189895,0.5179669558928119,False,0.08376938561999198,0.4741822348571276,False,0,False,0.2137214394720057,0.13278431617455186,False,0.06642261759157413,0.4867567644381312,False,0.16543214935527695,0.5494195220447202,False,0,False,0.20100236788831852,0.11292790065122305,False,0.13141910010387847,0.48016158268918885,False,0.13117277330354923,0.569794258217443,False,0,False
2430.0,2790.0,0.11843546840752002,0.17476026244691956,False,0.1247072804390317,0.5300448135387037,False,0.1471996930382785,0.5609809069036622,False,0,False,0.2861011404726123,0.21166693253738994,False,0.1715123075967429,0.539640583577694,False,0.22375522400534395,0.5345782268930569,True,1,False,0.16317686107837806,0.24816764853715223,False,0.16298666538460763,0.55795528578777,False,0.19119908777869862,0.4975063801417705,True,1,False
2460.0,2820.0,0.08505472110086018,0.18536126329193506,False,0.1548215875823504,0.2544734691755183,False,0.1469624688291203,0.2633160861123949,False,0,False,0.16319473137629686,0.24267264426930507,False,0.15888926060359093,0.2622567748175268,False,0.17872521235425,0.2640175806033585,False,0,False,0.10704006722021016,0.23691006900018857,False,0.13439809818646098,0.2548485990530095,False,0.2687947103832661,0.24087263244712365,False,0,False
2490.0,2850.0,0.19110311435306648,0.29681223803126955,False,0.2136651213694987,0.31300344802342706,False,0.14320854945886896,0.34659185962642797,False,0,False,0.1263844759380696,0.28762658342619674,False,0.1729201143318358,0.2627588461951908,False,0.09042828495204516,0.21249408500889777,False,0,False,0.09901132038223535,0.2934270234486985,False,0.11638277266100161,0.2380403113064965,False,0.1202183045099508,0.2132199760499517,False,0,False
2520.0,2880.0,0.2789808739906893,0.3647097120821415,False,0.1507970557608905,0.4124588046048271,False,0.13019634314391532,0.3881600917305176,False,0,False,0.1575673976246778,0.46621569176164634,True,0.1502551139346315,0.4080996678493678,False,0.06069643911175845,0.3836567554014354,False,1,False,0.13019342644512436,0.41513650158294546,False,0.1959647668534511,0.4124588046048271,True,0.06940621567105257,0.3596521907126774,False,1,False
2550.0,2910.0,0.18726526588126782,0.5283271714521048,True,0.1262382325695307,0.4743684810059544,False,0.09340844454207245,0.44063513072098764,False,1,False,0.08119849706819582,0.4887917389024359,False,0.12051411061194368,0.48603828468640065,False,0.12544642856466295,0.4988976023946423,False,0,False,0.1292663828628282,0.4714304929890262,False,0.1577951863516917,0.45901931822142317,False,0.09543754692551433,0.5137308388271382,False,0,False
2580.0,2940.0,0.08541912398664683,0.46138380592755246,False,0.06287496170593504,0.45218897715128115,False,0.05973690181677926,0.49972659598138064,False,0,False,0.10097998039168604,0.5034813208795209,False,0.1042471704289288,0.48416694526185466,False,0.16036532932279637,0.5777523704153111,False,0,False,0.09668558622757226,0.4876081161668576,False,0.13899187897968227,0.4834099907202103,False,0.10903183632271399,0.5690169819965447,False,0,False
2610.0,2970.0,0.08644373724180422,0.4120822771130432,False,0.1387812031484372,0.3391260545640133,False,0.18203279445686754,0.36955628563454423,False,0,False,0.1351144517060699,0.4319861329480853,True,0.13865178562366676,0.3780562933986521,False,0.16640540706257492,0.4105347803687156,False,1,False,0.1305793019603291,0.4384047954053437,False,0.10818462937160406,0.32207576856534104,False,0.15620236756892875,0.402942993426437,False,0,False
2640.0,3000.0,0.19934730687703986,0.4728314708356342,False,0.14996675246652674,0.3395663426157499,False,0.14642446633600117,0.33475606406402036,False,0,False,0.1389243517274679,0.2615937155279307,False,0.2128714070216271,0.3642160298938023,False,0.1821565641813461,0.41278146719652176,False,0,False,0.17556661286770323,0.34865977592522823,False,0.15439716614914414,0.3395663426157499,False,0.21418792028118866,0.455480172263266,True,1,False
2670.0,3030.0,0.07723157412267603,0.4300901511901024,False,0.13647144490897495,0.4029464337510832,False,0.14051515843629342,0.3212058997198127,False,0,False,0.0772281860446522,0.2936299474462595,False,0.1644849893298711,0.38383555672441705,False,0.16676305985519502,0.402649746394671,False,0,False,0.09369572794177358,0.37293736313843795,False,0.23298351852970364,0.4029464337510832,True,0.19681868773907843,0.42275128846747667,False,1,False
2700.0,3060.0,0.20665165179986145,0.2706660585227497,False,0.15045556222717743,0.40296697076942556,False,0.12514341950423072,0.44799817976156864,False,0,False,0.13783664082615474,0.3517995326039276,False,0.11493406898672241,0.40914280400148934,False,0.1148090426804404,0.3914492537941269,False,0,False,0.1499330958497697,0.33139099482307216,False,0.13291246023627282,0.41188115457344987,False,0.08502130980591768,0.39256834770873306,False,0,False
2730.0,3090.0,0.18722929353896303,0.3604997097553858,False,0.09833597935537652,0.34761666563992477,False,0.08068190418225354,0.3754455948734756,False,0,False,0.14278264828179493,0.30558295849992817,False,0.06291328683980094,0.3765366156913136,False,0.06693053444812304,0.22251039147617185,False,0,False,0.1450001552721636,0.2988225364965418,False,0.07147537800765953,0.3599957552403008,False,0.06745853135190007,0.22869753379033114,False,0,False
2760.0,3120.0,0.163136810066401,0.38910071211787156,False,0.0789571640893316,0.3408810336015195,False,0.08847587568534823,0.3446758762875666,False,0,False,0.1721906444118723,0.28971674620945653,False,0.06076237613763936,0.3323337441257952,False,0.07815337929230615,0.38440109868359895,False,0,False,0.1527518296613945,0.2688209147133396,False,0.06861087422443554,0.32811369655671874,False,0.1203371411733153,0.37789477659684967,False,0,False
2790.0,3150.0,0.14892385574719647,0.372612185230505,False,0.119798038272501,0.3071636207809893,False,0.20764486079372774,0.33207919176857115,False,0,False,0.12498848129632988,0.3200667119667456,False,0.14049693773774125,0.3362600105859039,False,0.14628127392272386,0.45150956303595446,False,0,False,0.12707244950363067,0.34970901217918915,False,0.12886520213782238,0.3469457061051482,False,0.1708988439244469,0.43235796002302473,False,0,False
2820.0,3180.0,0.08719224494922434,0.32186657248625394,False,0.11323002156326625,0.3221223137072236,False,0.1149715919161233,0.30910593014688287,False,0,False,0.13555404430893947,0.32497121736216056,False,0.16694756332531258,0.33824043537850074,False,0.15368445216187546,0.4582892104060109,False,0,False,0.12443396500573795,0.33056610241906176,False,0.22036074234970815,0.3517843792896564,True,0.17015858694165245,0.44911260058990554,False,1,False
2850.0,3210.0,0.059707408439812065,0.38821441993620187,False,0.05975425424966912,0.36872131927747387,False,0.07986121674257292,0.41104452770869015,False,0,False,0.12225925407163306,0.39046665063319963,False,0.0660379106223419,0.37100856726464837,False,0.16397801820860097,0.5031516078489947,False,0,False,0.1314680175474071,0.38405717838773723,False,0.10049342326840434,0.38502095525547964,False,0.11220490454354823,0.5185763604811158,False,0,False
2880.0,3240.0,0.09780630886163866,0.34190774189047457,False,0.2118267084238525,0.37231528813240466,False,0.18199713032456863,0.48238969156337985,False,0,False,0.07924803881577934,0.4175525523278023,False,0.10753029878593254,0.39018377197244936,False,0.1456336995931141,0.507586025862246,False,0,False,0.0735238847371014,0.4144851062992644,False,0.10854490828564439,0.38584866191294737,False,0.17360469362470352,0.5211329801430411,True,1,False
2910.0,3270.0,0.06028403801553293,0.3867500083803451,False,0.19392496038546503,0.39770085162286783,False,0.22852965529342226,0.34451865757635447,False,0,False,0.07633994450293437,0.3370916301388085,False,0.1734329978353186,0.39585835927783763,False,0.12816654012322032,0.239868331678804,False,0,False,0.1146268092537536,0.39481120997308783,False,0.0952964108943761,0.3602754876772732,False,0.1672132432049269,0.18091985690071496,False,0,False
2940.0,3300.0,0.06304969775871226,0.45455327457491845,False,0.13022222141389786,0.2263409075391763,False,0.13099314341434543,0.2064872086072651,False,0,False,0.06512678243781705,0.3992628581020341,False,0.15119626239747605,0.24154272154687428,False,0.13431719162229366,0.2716291997418135,False,0,False,0.11063962273759752,0.38443692731539647,False,0.11688061659963253,0.23594522358272774,False,0.15229587109586015,0.2618598593627574,False,0,False
2970.0,3330.0,0.04725119746443617,0.5350027894224175,False,0.21860774190790636,0.20261275661683614,False,0.23064746091424104,0.21164532809089123,False,0,False,0.10285668886238254,0.2820676483302551,False,0.2265121802916275,0.21281115010886037,False,0.25814127944360843,0.27818173260922696,False,0,False,0.14488492512085155,0.27726530053715337,False,0.1726659337150841,0.23444105509543417,False,0.1721685606590361,0.2951128954631919,False,0,False
3000.0,3360.0,0.06430444353733195,0.4252688793026237,False,0.18998623644967302,0.26987847585417557,False,0.21593687052301205,0.28546718417519146,False,0,False,0.1337198044403092,0.17614177830327932,False,0.17817375275523958,0.19420082780571227,False,0.2123753456085808,0.221451706752029,False,0,False,0.13088867968200754,0.15751580624560224,False,0.2857450796360542,0.2527101331270509,False,0.15099621953574446,0.24392921401513962,False,0,False
3030.0,3390.0,0.0997910888084742,0.1674413503428291,False,0.11557049041605469,0.5697722988027555,False,0.10168643416575979,0.6152446375978514,False,0,False,0.12315611225951859,0.12838774868552508,False,0.12416227250577726,0.5307617157657673,False,0.08324492169395165,0.4586573763943027,False,0,False,0.12948923986456914,0.11874817883960895,False,0.15786787458376283,0.4522692686564701,False,0.07911830136847356,0.4370718688356292,False,0,False
3060.0,3420.0,0.038468686363039344,0.28496035607846343,False,0.028868652990829875,0.5528265001271839,False,0.025054088258202527,0.5523724081170986,False,0,False,0.0857801752021743,0.3112091210259076,False,0.03500488030934238,0.5692352292279033,False,0.05839780389826325,0.5770584909390402,False,0,False,0.08868302207388787,0.2608724522510887,False,0.0767505859038116,0.62881047980259,False,0.07875775468284887,0.5887351323526177,False,0,False
